scene,ped_id,start_idx,end_idx,start_frame,end_frame,window_size
biwi_eth,2.0,0,19,800.0,990.0,20
biwi_eth,2.0,1,20,810.0,1000.0,20
biwi_eth,2.0,2,21,820.0,1010.0,20
biwi_eth,2.0,3,22,830.0,1020.0,20
biwi_eth,3.0,0,19,830.0,1020.0,20
biwi_eth,11.0,0,19,1050.0,1240.0,20
biwi_eth,12.0,0,19,1050.0,1240.0,20
biwi_eth,51.0,0,19,2860.0,3050.0,20
biwi_eth,51.0,1,20,2870.0,3060.0,20
biwi_eth,51.0,2,21,2880.0,3070.0,20
biwi_eth,51.0,3,22,2890.0,3080.0,20
biwi_eth,51.0,4,23,2900.0,3090.0,20
biwi_eth,51.0,5,24,2910.0,3100.0,20
biwi_eth,51.0,6,25,2920.0,3110.0,20
biwi_eth,51.0,7,26,2930.0,3120.0,20
biwi_eth,51.0,8,27,2940.0,3130.0,20
biwi_eth,51.0,9,28,2950.0,3140.0,20
biwi_eth,51.0,10,29,2960.0,3150.0,20
biwi_eth,51.0,11,30,2970.0,3160.0,20
biwi_eth,51.0,12,31,2980.0,3170.0,20
biwi_eth,51.0,13,32,2990.0,3180.0,20
biwi_eth,51.0,14,33,3000.0,3190.0,20
biwi_eth,51.0,15,34,3010.0,3200.0,20
biwi_eth,51.0,16,35,3020.0,3210.0,20
biwi_eth,51.0,17,36,3030.0,3220.0,20
biwi_eth,51.0,18,37,3040.0,3230.0,20
biwi_eth,51.0,19,38,3050.0,3240.0,20
biwi_eth,52.0,0,19,2860.0,3050.0,20
biwi_eth,52.0,1,20,2870.0,3060.0,20
biwi_eth,52.0,2,21,2880.0,3070.0,20
biwi_eth,52.0,3,22,2890.0,3080.0,20
biwi_eth,52.0,4,23,2900.0,3090.0,20
biwi_eth,52.0,5,24,2910.0,3100.0,20
biwi_eth,52.0,6,25,2920.0,3110.0,20
biwi_eth,52.0,7,26,2930.0,3120.0,20
biwi_eth,52.0,8,27,2940.0,3130.0,20
biwi_eth,52.0,9,28,2950.0,3140.0,20
biwi_eth,52.0,10,29,2960.0,3150.0,20
biwi_eth,52.0,11,30,2970.0,3160.0,20
biwi_eth,52.0,12,31,2980.0,3170.0,20
biwi_eth,52.0,13,32,2990.0,3180.0,20
biwi_eth,52.0,14,33,3000.0,3190.0,20
biwi_eth,52.0,15,34,3010.0,3200.0,20
biwi_eth,52.0,16,35,3020.0,3210.0,20
biwi_eth,52.0,17,36,3030.0,3220.0,20
biwi_eth,52.0,18,37,3040.0,3230.0,20
biwi_eth,52.0,19,38,3050.0,3240.0,20
biwi_eth,56.0,0,19,2860.0,3050.0,20
biwi_eth,56.0,1,20,2870.0,3060.0,20
biwi_eth,56.0,2,21,2880.0,3070.0,20
biwi_eth,56.0,3,22,2890.0,3080.0,20
biwi_eth,56.0,4,23,2900.0,3090.0,20
biwi_eth,56.0,5,24,2910.0,3100.0,20
biwi_eth,56.0,6,25,2920.0,3110.0,20
biwi_eth,56.0,7,26,2930.0,3120.0,20
biwi_eth,56.0,8,27,2940.0,3130.0,20
biwi_eth,56.0,9,28,2950.0,3140.0,20
biwi_eth,56.0,10,29,2960.0,3150.0,20
biwi_eth,56.0,11,30,2970.0,3160.0,20
biwi_eth,56.0,12,31,2980.0,3170.0,20
biwi_eth,79.0,0,19,4330.0,4520.0,20
biwi_eth,126.0,0,19,6420.0,6610.0,20
biwi_eth,127.0,0,19,6420.0,6610.0,20
biwi_eth,171.0,0,19,8120.0,8310.0,20
biwi_eth,171.0,1,20,8130.0,8320.0,20
biwi_eth,171.0,2,21,8140.0,8330.0,20
biwi_eth,171.0,3,22,8150.0,8340.0,20
biwi_eth,171.0,4,23,8160.0,8350.0,20
biwi_eth,171.0,5,24,8170.0,8360.0,20
biwi_eth,171.0,6,25,8180.0,8370.0,20
biwi_eth,171.0,7,26,8190.0,8380.0,20
biwi_eth,171.0,8,27,8200.0,8390.0,20
biwi_eth,171.0,9,28,8210.0,8400.0,20
biwi_eth,171.0,10,29,8220.0,8410.0,20
biwi_eth,171.0,11,30,8230.0,8420.0,20
biwi_eth,171.0,12,31,8240.0,8430.0,20
biwi_eth,171.0,13,32,8250.0,8440.0,20
biwi_eth,171.0,14,33,8260.0,8450.0,20
biwi_eth,171.0,15,34,8270.0,8460.0,20
biwi_eth,171.0,16,35,8280.0,8470.0,20
biwi_eth,171.0,17,36,8290.0,8480.0,20
biwi_eth,171.0,18,37,8300.0,8490.0,20
biwi_eth,171.0,19,38,8310.0,8500.0,20
biwi_eth,171.0,20,39,8320.0,8510.0,20
biwi_eth,171.0,21,40,8330.0,8520.0,20
biwi_eth,171.0,22,41,8340.0,8530.0,20
biwi_eth,171.0,23,42,8350.0,8540.0,20
biwi_eth,171.0,24,43,8360.0,8550.0,20
biwi_eth,171.0,25,44,8370.0,8560.0,20
biwi_eth,171.0,26,45,8380.0,8570.0,20
biwi_eth,171.0,27,46,8390.0,8580.0,20
biwi_eth,171.0,28,47,8400.0,8590.0,20
biwi_eth,171.0,29,48,8410.0,8600.0,20
biwi_eth,171.0,30,49,8420.0,8610.0,20
biwi_eth,171.0,31,50,8430.0,8620.0,20
biwi_eth,171.0,32,51,8440.0,8630.0,20
biwi_eth,171.0,33,52,8450.0,8640.0,20
biwi_eth,171.0,34,53,8460.0,8650.0,20
biwi_eth,171.0,35,54,8470.0,8660.0,20
biwi_eth,171.0,36,55,8480.0,8670.0,20
biwi_eth,171.0,37,56,8490.0,8680.0,20
biwi_eth,171.0,38,57,8500.0,8690.0,20
biwi_eth,171.0,39,58,8510.0,8700.0,20
biwi_eth,171.0,40,59,8520.0,8710.0,20
biwi_eth,171.0,41,60,8530.0,8720.0,20
biwi_eth,171.0,42,61,8540.0,8730.0,20
biwi_eth,171.0,43,62,8550.0,8740.0,20
biwi_eth,171.0,44,63,8560.0,8750.0,20
biwi_eth,171.0,45,64,8570.0,8760.0,20
biwi_eth,171.0,46,65,8580.0,8770.0,20
biwi_eth,171.0,47,66,8590.0,8780.0,20
biwi_eth,171.0,48,67,8600.0,8790.0,20
biwi_eth,171.0,49,68,8610.0,8800.0,20
biwi_eth,171.0,50,69,8620.0,8810.0,20
biwi_eth,171.0,51,70,8630.0,8820.0,20
biwi_eth,171.0,52,71,8640.0,8830.0,20
biwi_eth,171.0,53,72,8650.0,8840.0,20
biwi_eth,171.0,54,73,8660.0,8850.0,20
biwi_eth,171.0,55,74,8670.0,8860.0,20
biwi_eth,171.0,56,75,8680.0,8870.0,20
biwi_eth,171.0,57,76,8690.0,8880.0,20
biwi_eth,171.0,58,77,8700.0,8890.0,20
biwi_eth,171.0,59,78,8710.0,8900.0,20
biwi_eth,171.0,60,79,8720.0,8910.0,20
biwi_eth,171.0,61,80,8730.0,8920.0,20
biwi_eth,171.0,62,81,8740.0,8930.0,20
biwi_eth,171.0,63,82,8750.0,8940.0,20
biwi_eth,171.0,64,83,8760.0,8950.0,20
biwi_eth,171.0,65,84,8770.0,8960.0,20
biwi_eth,171.0,66,85,8780.0,8970.0,20
biwi_eth,171.0,67,86,8790.0,8980.0,20
biwi_eth,171.0,68,87,8800.0,8990.0,20
biwi_eth,171.0,69,88,8810.0,9000.0,20
biwi_eth,171.0,70,89,8820.0,9010.0,20
biwi_eth,171.0,71,90,8830.0,9020.0,20
biwi_eth,171.0,72,91,8840.0,9030.0,20
biwi_eth,171.0,73,92,8850.0,9040.0,20
biwi_eth,171.0,74,93,8860.0,9050.0,20
biwi_eth,171.0,75,94,8870.0,9060.0,20
biwi_eth,171.0,76,95,8880.0,9070.0,20
biwi_eth,171.0,77,96,8890.0,9080.0,20
biwi_eth,171.0,78,97,8900.0,9090.0,20
biwi_eth,171.0,79,98,8910.0,9100.0,20
biwi_eth,171.0,80,99,8920.0,9110.0,20
biwi_eth,171.0,81,100,8930.0,9120.0,20
biwi_eth,171.0,82,101,8940.0,9130.0,20
biwi_eth,171.0,83,102,8950.0,9140.0,20
biwi_eth,171.0,84,103,8960.0,9150.0,20
biwi_eth,171.0,85,104,8970.0,9160.0,20
biwi_eth,171.0,86,105,8980.0,9170.0,20
biwi_eth,171.0,87,106,8990.0,9180.0,20
biwi_eth,171.0,88,107,9000.0,9190.0,20
biwi_eth,171.0,89,108,9010.0,9200.0,20
biwi_eth,171.0,90,109,9020.0,9210.0,20
biwi_eth,171.0,91,110,9030.0,9220.0,20
biwi_eth,171.0,92,111,9040.0,9230.0,20
biwi_eth,171.0,93,112,9050.0,9240.0,20
biwi_eth,171.0,94,113,9060.0,9250.0,20
biwi_eth,195.0,0,19,8890.0,9080.0,20
biwi_eth,195.0,1,20,8900.0,9090.0,20
biwi_eth,195.0,2,21,8910.0,9100.0,20
biwi_eth,196.0,0,19,8900.0,9090.0,20
biwi_eth,196.0,1,20,8910.0,9100.0,20
biwi_eth,196.0,2,21,8920.0,9110.0,20
biwi_eth,197.0,0,19,8910.0,9100.0,20
biwi_eth,197.0,1,20,8920.0,9110.0,20
biwi_eth,216.0,0,19,9300.0,9490.0,20
biwi_eth,216.0,1,20,9310.0,9500.0,20
biwi_eth,216.0,2,21,9320.0,9510.0,20
biwi_eth,216.0,3,22,9330.0,9520.0,20
biwi_eth,216.0,4,23,9340.0,9530.0,20
biwi_eth,216.0,5,24,9350.0,9540.0,20
biwi_eth,216.0,6,25,9360.0,9550.0,20
biwi_eth,216.0,7,26,9370.0,9560.0,20
biwi_eth,216.0,8,27,9380.0,9570.0,20
biwi_eth,216.0,9,28,9390.0,9580.0,20
biwi_eth,216.0,10,29,9400.0,9590.0,20
biwi_eth,216.0,11,30,9410.0,9600.0,20
biwi_eth,216.0,12,31,9420.0,9610.0,20
biwi_eth,216.0,13,32,9430.0,9620.0,20
biwi_eth,216.0,14,33,9440.0,9630.0,20
biwi_eth,216.0,15,34,9450.0,9640.0,20
biwi_eth,216.0,16,35,9460.0,9650.0,20
biwi_eth,216.0,17,36,9470.0,9660.0,20
biwi_eth,216.0,18,37,9480.0,9670.0,20
biwi_eth,216.0,19,38,9490.0,9680.0,20
biwi_eth,216.0,20,39,9500.0,9690.0,20
biwi_eth,216.0,21,40,9510.0,9700.0,20
