degradation,zeta,method,ADE_mean,ADE_high_mean,ADE_high_noisy_mean,high_conf_no_harm_ratio,ADE_low_mean,low_conf_wilcoxon_p_vs_noisy,motion_usage_ratio,noisy_reversion_gap,acceleration_RMS_mean,max_update_to_x_ratio,late_update_to_x_ratio_max,nonfinite_count
gaussian_medium,0.3,E2_DPS_zeta_0.3,2.272738148967425,2.3147673879454778,1.529894339602168,1.5130243494772373,2.250109940171242,0.9999999999999996,4.075996140763803,0.6696268359820048,0.26650824715693794,2.2771767275028862,2.1425210996540223,0
gaussian_medium,1.0,E2_DPS_zeta_1.0,5.681339988708496,5.821749528975991,1.529894339602168,3.805327844071815,5.660454367001852,1.0,13.302707112984157,4.078228693803151,0.7590346250931422,3.2108305084457327,2.676906752049192,0
gaussian_medium,3.0,E2_DPS_zeta_3.0,16.650657653808594,17.569127410407958,1.529894339602168,11.48388287715125,16.54312507947286,1.0,41.25027060184543,15.04754632949829,2.2616050950686137,12.084697058040875,2.770679087285897,0
drift_medium,0.3,E2_DPS_zeta_0.3,2.1838038957118986,1.539580877025922,1.419295130968094,1.0847503408088084,2.5836108122454133,0.9999999999954616,15.171402504823387,0.5810407880942027,0.2261421353618304,3.2226258427951113,2.825272492135378,0
drift_medium,1.0,E2_DPS_zeta_1.0,5.575215791066488,2.5166580160458882,1.419295130968094,1.7731745576617943,7.1622927410658015,1.0,55.37828608080649,3.9724527009328208,0.7240651820103328,3.342184530247735,2.833652599777762,0
drift_medium,3.0,E2_DPS_zeta_3.0,15.443532797495523,5.360312283237775,1.419295130968094,3.776742529639719,20.686704077461894,1.0,165.59589349211276,13.840769713719686,2.191676081816355,11.671754749672038,2.4258179975612855,0
burst_medium,0.3,E2_DPS_zeta_0.3,2.3011765658855436,2.2655021872946888,1.5251838026977167,1.4853961753904747,2.2818158451716104,0.9999999999999998,3.451919582123787,0.6924995859464009,0.3637996989985307,2.259988522303357,2.249346558021723,0
burst_medium,1.0,E2_DPS_zeta_1.0,5.6067435169219975,5.776782463478848,1.5251838026977167,3.787597569067402,5.613347954750061,1.0,10.50826567423122,3.9980665397644044,0.7734215929110845,3.4433582358674117,2.6154936371549455,0
burst_medium,3.0,E2_DPS_zeta_3.0,15.942526791890462,15.730578267477393,1.5251838026977167,10.313890194515205,16.411904249191284,1.0,31.654185463229386,14.333849782943725,2.2878381260236105,10.89107883108253,2.751456812287819,0
bias_medium,0.3,E2_DPS_zeta_0.3,2.2721623222033185,2.482180118560791,1.6298558712005615,1.5229445513684607,2.2136460429146174,0.9999949273744733,17.766278684849087,0.6684029634793599,0.2383388071755568,3.500387015473747,2.7322637236402443,0
bias_medium,1.0,E2_DPS_zeta_1.0,5.524972766240438,5.062886079152425,1.6298558712005615,3.106339749798289,5.065534075101216,1.0,63.22724480739717,3.921213402748108,0.7409428294499715,3.474749818923706,2.7775195401132247,0
bias_medium,3.0,E2_DPS_zeta_3.0,16.23751974741618,16.24737485249837,1.6298558712005615,9.968596082382707,15.5418533824739,1.0,198.81581514998507,14.633760350545247,2.2697305274009705,11.030970742394462,2.4353101544272393,0
jump_medium,0.3,E2_DPS_zeta_0.3,2.2712872131665547,1.694069756750475,1.5199524744560844,1.1145544253656343,2.461915893762401,0.9999999994792549,6.433413139939462,0.6651380344231923,0.30195309316118557,2.7597824373899704,2.4719223501155985,0
jump_medium,1.0,E2_DPS_zeta_1.0,5.53682516336441,2.7251704994000887,1.5199524744560844,1.7929313877891426,6.246251969626456,1.0,20.29378401441244,3.930675989786784,0.740714257657528,3.8732932587210582,2.6465179363611018,0
jump_medium,3.0,E2_DPS_zeta_3.0,16.4196563911438,6.403952456357186,1.5199524744560844,4.21325835115262,18.821556560920946,1.0,63.04512216657517,14.813507223129273,2.2149041787783306,9.960217374836917,3.02643505699146,0
combined_medium,0.3,E2_DPS_zeta_0.3,2.3451599210500715,2.2744464664547532,1.415320994125472,1.6070181081855113,2.4881596125737584,0.9999999992537923,4.704285812173382,0.7207470492521921,0.26749333197871844,2.3467313132369876,2.320890950809171,0
combined_medium,1.0,E2_DPS_zeta_1.0,5.5999818102518715,6.319439243387293,1.415320994125472,4.465021906420655,5.80245421149514,1.0,15.085311956422608,3.9755689295132957,0.7349162117640178,3.3325722330297696,2.636926333739496,0
combined_medium,3.0,E2_DPS_zeta_3.0,15.559403044382732,18.447671819616247,1.415320994125472,13.034267064635099,16.582129545886108,1.0,44.86752061192618,13.934990158081055,2.2417292086283367,12.913028689715478,2.5504870709165277,0
