degradation,trajectory_id,N_high_frames,N_violation_high_frames,high_violation_frame_fraction,ADE_noisy_high,ADE_cond_high,ADE_e1_high,e1_over_1p1_noisy_high,high_excess_sum,high_excess_mean,boundary_high_frames,boundary_excess_sum,wrong_direction_fraction_high
drift_medium,65,8,6,0.75,0.003207951784133911,0.03558637574315071,0.007011590525507927,1.98699152469635,0.02796678990125656,0.00349584873765707,0,0.0,0.25
drift_medium,156,6,4,0.6666666666666666,0.0036517649423331022,0.03559175133705139,0.008486227132380009,2.1126091480255127,0.02754444070160389,0.0045907399617135525,0,0.0,0.3333333333333333
drift_medium,160,5,3,0.6,0.0034828055649995804,0.02924462780356407,0.009242269210517406,2.4124410152435303,0.027381129562854767,0.005476226098835468,0,0.0,0.6
drift_medium,19,6,5,0.8333333333333334,0.0040585556998848915,0.0231739804148674,0.008627639152109623,1.9325368404388428,0.02497936598956585,0.0041632275097072124,0,0.0,0.8333333333333334
drift_medium,123,4,3,0.75,0.003099577035754919,0.04552128165960312,0.009598201140761375,2.815105676651001,0.024754663929343224,0.006188665982335806,0,0.0,0.25
drift_medium,25,8,7,0.875,0.0037171500734984875,0.02838519774377346,0.006913009099662304,1.690691351890564,0.022593148052692413,0.0028241435065865517,0,0.0,0.25
drift_medium,53,4,2,0.5,0.0023000354412943125,0.04385361820459366,0.007928352802991867,3.133687973022461,0.022557349875569344,0.005639337468892336,0,0.0,0.0
drift_medium,10,9,8,0.8888888888888888,0.0038797855377197266,0.01767587475478649,0.006604297552257776,1.5474841594696045,0.021028798073530197,0.0023365330416709185,0,0.0,0.7777777777777778
drift_medium,112,5,4,0.8,0.0032840468920767307,0.025326808914542198,0.007677939720451832,2.1254096031188965,0.020327437669038773,0.0040654875338077545,0,0.0,0.8
drift_medium,187,4,3,0.75,0.003175533376634121,0.02565182000398636,0.008505151607096195,2.4348526000976562,0.02004826068878174,0.005012065172195435,0,0.0,0.75
burst_medium,41,5,4,0.8,0.0039020006079226732,0.07983236759901047,0.02083883248269558,4.855046272277832,0.08315476030111313,0.016630951315164566,0,0.0,0.6
burst_medium,172,3,3,1.0,0.003463044762611389,0.13442076742649078,0.028692543506622314,7.532137393951416,0.07464957982301712,0.024883193895220757,0,0.0,0.3333333333333333
burst_medium,114,3,3,1.0,0.003723581088706851,0.11301781982183456,0.02722216211259365,6.646133899688721,0.06937866657972336,0.02312622219324112,1,0.01728944480419159,0.6666666666666666
burst_medium,55,3,3,1.0,0.004138795658946037,0.0841221809387207,0.02618730627000332,5.752069473266602,0.06490388512611389,0.021634628996253014,0,0.0,1.0
burst_medium,6,3,3,1.0,0.0022265641018748283,0.16683800518512726,0.023132450878620148,9.44482135772705,0.062049686908721924,0.020683228969573975,1,0.021858446300029755,0.3333333333333333
burst_medium,120,4,3,0.75,0.0038831064011901617,0.07786300033330917,0.018708929419517517,4.38002872467041,0.05818364769220352,0.01454591192305088,3,0.03161167353391647,0.5
burst_medium,67,4,4,1.0,0.003463609144091606,0.07949047535657883,0.017220405861735344,4.519826889038086,0.05364174395799637,0.013410435989499092,0,0.0,0.5
burst_medium,54,3,3,1.0,0.0035934883635491133,0.09988311678171158,0.021376559510827065,5.40790319442749,0.052271172404289246,0.0174237247556448,1,0.017928868532180786,0.3333333333333333
burst_medium,184,2,2,1.0,0.002236167201772332,0.11499845236539841,0.028426527976989746,11.556513786315918,0.05193348601460457,0.025966743007302284,2,0.05193348601460457,1.0
burst_medium,177,3,3,1.0,0.002663740888237953,0.11216158419847488,0.018956489861011505,6.469537734985352,0.048079125583171844,0.01602637581527233,3,0.048079125583171844,0.3333333333333333
